state,move
_______________________OX_____XO_____OX_OX,6
_______________________OX_____XO__X__OX_OX,3
_________________O_____OX_____XO__X__OX_OX,6
_________________O_____OX__X__XO__X__OX_OX,6
_________________O__O__OX__X__XO__X__OX_OX,0
_________________O__O__OX__X__XO__XX_OX_OX,4
_________________O__O__OX__X__XO__XX_OXOOX,0
_________________O__O__OX__XX_XO__XX_OXOOX,0
_________________O__OO_OX__XX_XO__XX_OXOOX,1
_________________O__OO_OX__XX_XO__XXXOXOOX,0
______________O__O__OO_OX__XX_XO__XXXOXOOX,4
______________O__O__OO_OX__XX_XOX_XXXOXOOX,2
______________O_OO__OO_OX__XX_XOX_XXXOXOOX,2
_________X____O_OO__OO_OX__XX_XOX_XXXOXOOX,3
_________XO___O_OO__OO_OX__XX_XOX_XXXOXOOX,0
_______X_XO___O_OO__OO_OX__XX_XOX_XXXOXOOX,1
_______X_XO___O_OO__OO_OX__XXOXOX_XXXOXOOX,2
__X____X_XO___O_OO__OO_OX__XXOXOX_XXXOXOOX,3
__XO___X_XO___O_OO__OO_OX__XXOXOX_XXXOXOOX,0
X_XO___X_XO___O_OO__OO_OX__XXOXOX_XXXOXOOX,1
X_XO___X_XO___O_OO__OOOOX__XXOXOX_XXXOXOOX,1
X_XO___X_XO___OXOO__OOOOX__XXOXOX_XXXOXOOX,1
X_XO___XOXO___OXOO__OOOOX__XXOXOX_XXXOXOOX,1
XXXO___XOXO___OXOO__OOOOX__XXOXOX_XXXOXOOX,5
XXXO___XOXO___OXOO__OOOOX__XXOXOXOXXXOXOOX,4
XXXO___XOXO___OXOO__OOOOXX_XXOXOXOXXXOXOOX,5
XXXO___XOXO___OXOO__OOOOXXOXXOXOXOXXXOXOOX,4
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,2
______________________________X______OX___,2
_______________________O______X______OX___,4
_______________________O______X______OXX__,5
_______________________O______X______OXXO_,4
_______________________O______X_X____OXXO_,3
_______________________O______XOX____OXXO_,4
_______________________O_X____XOX____OXXO_,4
__________________O____O_X____XOX____OXXO_,5
__________________O____O_X____XOXX___OXXO_,5
__________________O____O_XO___XOXX___OXXO_,6
__________________O____O_XO___XOXX___OXXOX,2
________________O_O____O_XO___XOXX___OXXOX,2
_________X______O_O____O_XO___XOXX___OXXOX,5
_________X______O_OO___O_XO___XOXX___OXXOX,5
_________X__X___O_OO___O_XO___XOXX___OXXOX,5
_____O___X__X___O_OO___O_XO___XOXX___OXXOX,6
_____O___X__X___O_OO___O_XO___XOXXX__OXXOX,6
_____O___X__X___O_OO___O_XOO__XOXXX__OXXOX,2
__X__O___X__X___O_OO___O_XOO__XOXXX__OXXOX,6
__X__O___X__X___O_OOO__O_XOO__XOXXX__OXXOX,6
__X__O___X__XX__O_OOO__O_XOO__XOXXX__OXXOX,0
__X__O___X__XX__O_OOO__O_XOO__XOXXXO_OXXOX,4
__X__O___X_XXX__O_OOO__O_XOO__XOXXXO_OXXOX,0
__X__O___X_XXX__O_OOO__O_XOOO_XOXXXO_OXXOX,0
__X__O___X_XXX__O_OOOX_O_XOOO_XOXXXO_OXXOX,0
__X__O___X_XXXO_O_OOOX_O_XOOO_XOXXXO_OXXOX,0
__X__O_X_X_XXXO_O_OOOX_O_XOOO_XOXXXO_OXXOX,0
O_X__O_X_X_XXXO_O_OOOX_O_XOOO_XOXXXO_OXXOX,1
O_X__O_X_X_XXXO_O_OOOX_O_XOOO_XOXXXOXOXXOX,6
O_X__OOX_X_XXXO_O_OOOX_O_XOOO_XOXXXOXOXXOX,1
O_X__OOX_X_XXXO_O_OOOX_O_XOOOXXOXXXOXOXXOX,4
O_X_OOOX_X_XXXO_O_OOOX_O_XOOOXXOXXXOXOXXOX,1
O_X_OOOX_X_XXXO_O_OOOXXO_XOOOXXOXXXOXOXXOX,1
O_X_OOOX_X_XXXOOO_OOOXXO_XOOOXXOXXXOXOXXOX,1
O_X_OOOXXX_XXXOOO_OOOXXO_XOOOXXOXXXOXOXXOX,1
OOX_OOOXXX_XXXOOO_OOOXXO_XOOOXXOXXXOXOXXOX,3
OOX_OOOXXX_XXXOOO_OOOXXOXXOOOXXOXXXOXOXXOX,3
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,3
_______________________________X_____OX___,3
________________________O______X_____OX___,5
________________________O______X_____OX_X_,4
________________________O______X_____OXOX_,3
_________________X______O______X_____OXOX_,2
_________________X______O_____OX_____OXOX_,2
_________________X_____XO_____OX_____OXOX_,5
_________________X_____XO_____OX_O___OXOX_,0
_________________X_____XO_____OX_O_X_OXOX_,4
_________________X_____XO_____OXOO_X_OXOX_,2
________________XX_____XO_____OXOO_X_OXOX_,5
________________XX_____XO_O___OXOO_X_OXOX_,2
_________X______XX_____XO_O___OXOO_X_OXOX_,2
__O______X______XX_____XO_O___OXOO_X_OXOX_,1
__O______X______XX_____XO_O___OXOO_XXOXOX_,1
__O______X______XX_____XO_O__OOXOO_XXOXOX_,4
__O______X______XX_____XOXO__OOXOO_XXOXOX_,4
__O______X______XXO____XOXO__OOXOO_XXOXOX_,3
__O______XX_____XXO____XOXO__OOXOO_XXOXOX_,1
__O______XX_____XXO___OXOXO__OOXOO_XXOXOX_,4
__O______XXX____XXO___OXOXO__OOXOO_XXOXOX_,6
__O______XXX____XXO___OXOXO__OOXOO_XXOXOXO,1
__O______XXX___XXXO___OXOXO__OOXOO_XXOXOXO,1
__O_____OXXX___XXXO___OXOXO__OOXOO_XXOXOXO,1
__________________________________________,1
____________________________________X_____,3
____________________________________X_O___,4
____________________________________X_OX__,3
_______________________________O____X_OX__,3
________________________X______O____X_OX__,3
_________________O______X______O____X_OX__,4
_________________O______X______OX___X_OX__,1
_________________O______X____O_OX___X_OX__,4
_________________O______XX___O_OX___X_OX__,4
_________________OO_____XX___O_OX___X_OX__,1
_________________OO___X_XX___O_OX___X_OX__,1
_______________O_OO___X_XX___O_OX___X_OX__,3
__________X____O_OO___X_XX___O_OX___X_OX__,4
__________XO___O_OO___X_XX___O_OX___X_OX__,5
__________XO___O_OO___X_XX___O_OX___X_OXX_,1
________O_XO___O_OO___X_XX___O_OX___X_OXX_,2
________O_XO___O_OO___X_XX___O_OX___XXOXX_,3
___O____O_XO___O_OO___X_XX___O_OX___XXOXX_,6
___O____O_XO___O_OO___X_XX___O_OX___XXOXXX,4
___OO___O_XO___O_OO___X_XX___O_OX___XXOXXX,1
_X_OO___O_XO___O_OO___X_XX___O_OX___XXOXXX,5
_X_OO___O_XO___O_OO___X_XX___O_OXO__XXOXXX,5
_X_OO___O_XO___O_OO___X_XXX__O_OXO__XXOXXX,5
_X_OO___O_XO___O_OOO__X_XXX__O_OXO__XXOXXX,0
_X_OO___O_XO___O_OOO__X_XXX__O_OXO_XXXOXXX,0
_X_OO___O_XO___O_OOO__X_XXX_OO_OXO_XXXOXXX,5
_X_OO___O_XOX__O_OOO__X_XXX_OO_OXO_XXXOXXX,2
__________________________________________,3
______________________________________X___,3
_______________________________O______X___,4
_______________________________O______XX__,5
_______________________________O______XXO_,2
_______________________________O_____XXXO_,1
_______________________________O____OXXXO_,2
______________________________XO____OXXXO_,2
_______________________O______XO____OXXXO_,2
________________X______O______XO____OXXXO_,5
________________X______O______XO_O__OXXXO_,5
________________X______O__X___XO_O__OXXXO_,4
________________X______O__X___XOOO__OXXXO_,3
________________X______OX_X___XOOO__OXXXO_,3
________________XO_____OX_X___XOOO__OXXXO_,4
________________XO_____OXXX___XOOO__OXXXO_,1
________________XO_____OXXX__OXOOO__OXXXO_,0
________________XO_____OXXX__OXOOO_XOXXXO_,1
________________XO____OOXXX__OXOOO_XOXXXO_,1
_______________XXO____OOXXX__OXOOO_XOXXXO_,4
_______________XXOO___OOXXX__OXOOO_XOXXXO_,4
___________X___XXOO___OOXXX__OXOOO_XOXXXO_,2
_________O_X___XXOO___OOXXX__OXOOO_XOXXXO_,0
_________O_X___XXOO___OOXXX_XOXOOO_XOXXXO_,0
_________O_X___XXOO__OOOXXX_XOXOOO_XOXXXO_,1
________XO_X___XXOO__OOOXXX_XOXOOO_XOXXXO_,1
_O______XO_X___XXOO__OOOXXX_XOXOOO_XOXXXO_,0
_O______XO_X__XXXOO__OOOXXX_XOXOOO_XOXXXO_,5
_O______XO_X__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,2
_OX_____XO_X__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,4
_OX_O___XO_X__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,3
_OX_O___XOXX__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,3
_OXOO___XOXX__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,0
_OXOO__XXOXX__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,0
OOXOO__XXOXX__XXXOOO_OOOXXX_XOXOOO_XOXXXO_,6
OOXOO__XXOXX__XXXOOO_OOOXXX_XOXOOO_XOXXXOX,6
__________________________________________,3
______________________________________X___,4
______________________________________XO__,3
_______________________________X______XO__,3
________________________O______X______XO__,3
_________________X______O______X______XO__,1
_________________X______O______X____O_XO__,1
_________________X______O____X_X____O_XO__,4
_________________X______O____X_XO___O_XO__,4
_________________X______OX___X_XO___O_XO__,4
_________________XO_____OX___X_XO___O_XO__,6
_________________XO_____OX___X_XO___O_XO_X,4
___________O_____XO_____OX___X_XO___O_XO_X,6
___________O_____XO_____OX___X_XO_X_O_XO_X,6
___________O_____XO_____OX_O_X_XO_X_O_XO_X,0
___________O_____XO_____OX_O_X_XO_XXO_XO_X,0
___________O_____XO_____OX_OOX_XO_XXO_XO_X,5
___________O_____XO_____OX_OOX_XO_XXO_XOXX,5
___________O_____XO_____OX_OOX_XOOXXO_XOXX,1
___________O_____XO___X_OX_OOX_XOOXXO_XOXX,1
___________O___O_XO___X_OX_OOX_XOOXXO_XOXX,3
__________XO___O_XO___X_OX_OOX_XOOXXO_XOXX,1
________O_XO___O_XO___X_OX_OOX_XOOXXO_XOXX,5
________O_XO___O_XO___X_OXXOOX_XOOXXO_XOXX,5
________O_XO___O_XOO__X_OXXOOX_XOOXXO_XOXX,3
___X____O_XO___O_XOO__X_OXXOOX_XOOXXO_XOXX,5
___X____O_XOO__O_XOO__X_OXXOOX_XOOXXO_XOXX,4
___XX___O_XOO__O_XOO__X_OXXOOX_XOOXXO_XOXX,5
___XXO__O_XOO__O_XOO__X_OXXOOX_XOOXXO_XOXX,6
___XXO__O_XOO__O_XOOX_X_OXXOOX_XOOXXO_XOXX,1
_O_XXO__O_XOO__O_XOOX_X_OXXOOX_XOOXXO_XOXX,2
_O_XXO__O_XOO__O_XOOX_X_OXXOOX_XOOXXOXXOXX,2
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,3
_______________________________X_____OX___,3
________________________O______X_____OX___,2
________________________O_____XX_____OX___,2
_______________________OO_____XX_____OX___,6
_______________________OO_____XX_____OX__X,5
_______________________OO_____XX_____OX_OX,2
________________X______OO_____XX_____OX_OX,5
________________X______OO_____XX_O___OX_OX,5
________________X______OO_X___XX_O___OX_OX,3
________________XO_____OO_X___XX_O___OX_OX,6
________________XO_____OO_X___XX_OX__OX_OX,3
__________O_____XO_____OO_X___XX_OX__OX_OX,3
___X______O_____XO_____OO_X___XX_OX__OX_OX,0
___X______O_____XO_____OO_X___XX_OXO_OX_OX,0
___X______O_____XO_____OO_X_X_XX_OXO_OX_OX,6
___X______O_____XO_____OO_XOX_XX_OXO_OX_OX,6
___X______O_____XO__X__OO_XOX_XX_OXO_OX_OX,0
___X______O_____XO__XO_OO_XOX_XX_OXO_OX_OX,5
___X______O_____XO_XXO_OO_XOX_XX_OXO_OX_OX,0
___X______O___O_XO_XXO_OO_XOX_XX_OXO_OX_OX,4
___X______O___O_XO_XXO_OO_XOX_XX_OXO_OXXOX,4
___X______O___O_XO_XXO_OO_XOX_XXOOXO_OXXOX,4
___X______O___O_XO_XXO_OOXXOX_XXOOXO_OXXOX,6
___X______O__OO_XO_XXO_OOXXOX_XXOOXO_OXXOX,2
___X_____XO__OO_XO_XXO_OOXXOX_XXOOXO_OXXOX,5
___X_____XO_OOO_XO_XXO_OOXXOX_XXOOXO_OXXOX,6
___X__X__XO_OOO_XO_XXO_OOXXOX_XXOOXO_OXXOX,5
___X_OX__XO_OOO_XO_XXO_OOXXOX_XXOOXO_OXXOX,2
__XX_OX__XO_OOO_XO_XXO_OOXXOX_XXOOXO_OXXOX,0
__XX_OXO_XO_OOO_XO_XXO_OOXXOX_XXOOXO_OXXOX,0
X_XX_OXO_XO_OOO_XO_XXO_OOXXOX_XXOOXO_OXXOX,4
X_XX_OXO_XO_OOO_XOOXXO_OOXXOX_XXOOXO_OXXOX,4
X_XX_OXO_XOXOOO_XOOXXO_OOXXOX_XXOOXO_OXXOX,4
X_XXOOXO_XOXOOO_XOOXXO_OOXXOX_XXOOXO_OXXOX,1
X_XXOOXO_XOXOOO_XOOXXO_OOXXOX_XXOOXOXOXXOX,1
__________________________________________,3
______________________________________X___,3
_______________________________O______X___,2
_______________________________O_____XX___,4
_______________________________O_____XXO__,2
______________________________XO_____XXO__,2
_______________________O______XO_____XXO__,4
_______________________O______XOX____XXO__,0
_______________________O______XOX__O_XXO__,3
_______________________OX_____XOX__O_XXO__,2
________________O______OX_____XOX__O_XXO__,3
________________OX_____OX_____XOX__O_XXO__,2
_________O______OX_____OX_____XOX__O_XXO__,2
__X______O______OX_____OX_____XOX__O_XXO__,3
__X______OO_____OX_____OX_____XOX__O_XXO__,4
__X______OO_____OX_____OXX____XOX__O_XXO__,4
__X______OO_____OXO____OXX____XOX__O_XXO__,6
__X______OO_____OXO____OXX____XOX__O_XXO_X,1
__X______OO_____OXO____OXX____XOX__OOXXO_X,6
__X______OO_____OXO____OXX____XOX_XOOXXO_X,6
__X______OO_____OXO____OXX_O__XOX_XOOXXO_X,6
__X______OO_____OXO_X__OXX_O__XOX_XOOXXO_X,0
__X______OO_____OXO_X__OXX_OO_XOX_XOOXXO_X,5
__X______OO_____OXO_X__OXX_OO_XOX_XOOXXOXX,4
__X______OOO____OXO_X__OXX_OO_XOX_XOOXXOXX,5
__________________________________________,2
_____________________________________X____,3
_____________________________________XO___,3
_______________________________X_____XO___,3
________________________O______X_____XO___,2
________________________O_____XX_____XO___,2
_______________________OO_____XX_____XO___,2
________________X______OO_____XX_____XO___,3
________________XO_____OO_____XX_____XO___,3
__________X_____XO_____OO_____XX_____XO___,0
__________X_____XO_____OO_____XX___O_XO___,5
__________X_____XO_____OO_____XX___O_XO_X_,5
__________X_____XO_____OO_____XX_O_O_XO_X_,5
__________X_____XO_____OO_X___XX_O_O_XO_X_,0
__________X_____XO_____OO_X_O_XX_O_O_XO_X_,0
__________X_____XO___X_OO_X_O_XX_O_O_XO_X_,5
__________X_____XO_O_X_OO_X_O_XX_O_O_XO_X_,2
_________XX_____XO_O_X_OO_X_O_XX_O_O_XO_X_,6
_________XX_____XO_O_X_OO_X_O_XX_O_O_XO_XO,0
_________XX___X_XO_O_X_OO_X_O_XX_O_O_XO_XO,0
_______O_XX___X_XO_O_X_OO_X_O_XX_O_O_XO_XO,6
_______O_XX___X_XO_O_X_OO_X_O_XX_OXO_XO_XO,4
_______O_XX___X_XO_O_X_OO_X_O_XX_OXO_XOOXO,5
_______O_XX_X_X_XO_O_X_OO_X_O_XX_OXO_XOOXO,5
_____O_O_XX_X_X_XO_O_X_OO_X_O_XX_OXO_XOOXO,6
_____O_O_XX_X_X_XO_O_X_OO_XXO_XX_OXO_XOOXO,6
_____O_O_XX_X_X_XO_OOX_OO_XXO_XX_OXO_XOOXO,3
___X_O_O_XX_X_X_XO_OOX_OO_XXO_XX_OXO_XOOXO,4
___X_O_O_XX_X_X_XO_OOX_OO_XXO_XXOOXO_XOOXO,6
___X_O_O_XX_XXX_XO_OOX_OO_XXO_XXOOXO_XOOXO,4
__________________________________________,3
______________________________________X___,3
_______________________________O______X___,2
_______________________________O_____XX___,1
_______________________________O____OXX___,3
________________________X______O____OXX___,1
________________________X____O_O____OXX___,2
________________________X____OXO____OXX___,1
______________________O_X____OXO____OXX___,1
_______________X______O_X____OXO____OXX___,3
_______________X_O____O_X____OXO____OXX___,2
_______________X_O____OXX____OXO____OXX___,2
_______________XOO____OXX____OXO____OXX___,5
_______________XOO____OXX____OXO____OXX_X_,4
_______________XOO____OXX____OXO____OXXOX_,3
__________X____XOO____OXX____OXO____OXXOX_,6
__________X____XOO____OXX____OXO____OXXOXO,5
__________X____XOO____OXX____OXO_X__OXXOXO,5
__________X____XOO____OXX_O__OXO_X__OXXOXO,5
__________X____XOO_X__OXX_O__OXO_X__OXXOXO,2
_________OX____XOO_X__OXX_O__OXO_X__OXXOXO,5
_________OX_X__XOO_X__OXX_O__OXO_X__OXXOXO,6
_________OX_X__XOO_X__OXX_O__OXO_XO_OXXOXO,6
_________OX_X__XOO_X__OXX_OX_OXO_XO_OXXOXO,3
___O_____OX_X__XOO_X__OXX_OX_OXO_XO_OXXOXO,4
___O_____OX_X__XOO_X__OXX_OX_OXOXXO_OXXOXO,6
___O_____OX_X__XOO_XO_OXX_OX_OXOXXO_OXXOXO,6
___O_____OX_XX_XOO_XO_OXX_OX_OXOXXO_OXXOXO,2
__OO_____OX_XX_XOO_XO_OXX_OX_OXOXXO_OXXOXO,6
__OO__X__OX_XX_XOO_XO_OXX_OX_OXOXXO_OXXOXO,0
__OO__X__OX_XX_XOO_XO_OXX_OX_OXOXXOOOXXOXO,0
__OO__X__OX_XX_XOO_XO_OXX_OXXOXOXXOOOXXOXO,0
__OO__X__OX_XX_XOO_XOOOXX_OXXOXOXXOOOXXOXO,4
__OO__X__OX_XX_XOO_XOOOXXXOXXOXOXXOOOXXOXO,0
__OO__X__OX_XXOXOO_XOOOXXXOXXOXOXXOOOXXOXO,4
__________________________________________,3
______________________________________X___,5
______________________________________X_O_,5
_________________________________X____X_O_,2
_________________________________X___OX_O_,3
_______________________________X_X___OX_O_,3
________________________O______X_X___OX_O_,3
_________________X______O______X_X___OX_O_,2
_________________X______O_____OX_X___OX_O_,5
_________________X______O_X___OX_X___OX_O_,6
_________________X______O_X___OX_X___OX_OO,6
_________________X______O_X___OX_XX__OX_OO,3
__________O______X______O_X___OX_XX__OX_OO,0
__________O______X______O_X___OX_XXX_OX_OO,5
__________O______X_O____O_X___OX_XXX_OX_OO,2
__________O______X_O___XO_X___OX_XXX_OX_OO,2
__________O_____OX_O___XO_X___OX_XXX_OX_OO,2
_________XO_____OX_O___XO_X___OX_XXX_OX_OO,6
_________XO_____OX_O___XO_XO__OX_XXX_OX_OO,5
_________XO_X___OX_O___XO_XO__OX_XXX_OX_OO,0
_________XO_X___OX_O___XO_XOO_OX_XXX_OX_OO,0
_________XO_X___OX_O_X_XO_XOO_OX_XXX_OX_OO,6
_________XO_X___OX_OOX_XO_XOO_OX_XXX_OX_OO,6
_________XO_XX__OX_OOX_XO_XOO_OX_XXX_OX_OO,0
_________XO_XXO_OX_OOX_XO_XOO_OX_XXX_OX_OO,2
__X______XO_XXO_OX_OOX_XO_XOO_OX_XXX_OX_OO,6
__X___O__XO_XXO_OX_OOX_XO_XOO_OX_XXX_OX_OO,3
__XX__O__XO_XXO_OX_OOX_XO_XOO_OX_XXX_OX_OO,0
__XX__OO_XO_XXO_OX_OOX_XO_XOO_OX_XXX_OX_OO,1
__XX__OO_XO_XXO_OX_OOX_XO_XOO_OX_XXXXOX_OO,1
__XX__OO_XO_XXO_OX_OOX_XO_XOOOOX_XXXXOX_OO,1
__XX__OO_XO_XXO_OX_OOXXXO_XOOOOX_XXXXOX_OO,1
__XX__OO_XO_XXOOOX_OOXXXO_XOOOOX_XXXXOX_OO,1
__XX__OOXXO_XXOOOX_OOXXXO_XOOOOX_XXXXOX_OO,1
_OXX__OOXXO_XXOOOX_OOXXXO_XOOOOX_XXXXOX_OO,4
_OXX__OOXXO_XXOOOX_OOXXXO_XOOOOX_XXXXOXXOO,4
__________________________________________,3
______________________________________X___,4
______________________________________XO__,4
________________________________X_____XO__,3
_______________________________OX_____XO__,3
________________________X______OX_____XO__,4
________________________XO_____OX_____XO__,3
_________________X______XO_____OX_____XO__,4
_________________XO_____XO_____OX_____XO__,3
__________X______XO_____XO_____OX_____XO__,3
___O______X______XO_____XO_____OX_____XO__,4
___O______XX_____XO_____XO_____OX_____XO__,1
___O______XX_____XO_____XO_____OX___O_XO__,1
___O______XX_____XO_____XO___X_OX___O_XO__,5
___O______XX_____XO_____XO___X_OX___O_XOO_,2
___O______XX_____XO_____XO___X_OX___OXXOO_,0
___O______XX_____XO_____XO___X_OX__OOXXOO_,0
___O______XX_____XO_____XO__XX_OX__OOXXOO_,0
___O______XX_____XO__O__XO__XX_OX__OOXXOO_,0
___O______XX__X__XO__O__XO__XX_OX__OOXXOO_,5
___O______XX__X__XO__O__XO__XX_OXO_OOXXOO_,2
___O______XX__X__XO__O__XO__XXXOXO_OOXXOO_,2
___O______XX__X__XO__O_OXO__XXXOXO_OOXXOO_,1
__________________________________________,3
______________________________________X___,1
____________________________________O_X___,4
____________________________________O_XX__,5
____________________________________O_XXO_,3
_______________________________X____O_XXO_,3
________________________O______X____O_XXO_,5
________________________O______X_X__O_XXO_,4
________________________O______XOX__O_XXO_,3
_________________X______O______XOX__O_XXO_,4
_________________X______OO_____XOX__O_XXO_,4
_________________XX_____OO_____XOX__O_XXO_,5
_________________XX_____OOO____XOX__O_XXO_,1
_________________XX_____OOO__X_XOX__O_XXO_,5
_________________XXO____OOO__X_XOX__O_XXO_,5
____________X____XXO____OOO__X_XOX__O_XXO_,6
____________X____XXO____OOO__X_XOX__O_XXOO,5
_____X______X____XXO____OOO__X_XOX__O_XXOO,4
_____X_____OX____XXO____OOO__X_XOX__O_XXOO,0
_____X_____OX____XXO____OOO__X_XOX_XO_XXOO,0
_____X_____OX____XXO____OOO_OX_XOX_XO_XXOO,1
_____X_____OX____XXO__X_OOO_OX_XOX_XO_XXOO,1
_____X_____OX__O_XXO__X_OOO_OX_XOX_XO_XXOO,0
_____X_____OX__O_XXO_XX_OOO_OX_XOX_XO_XXOO,0
_____X_____OX_OO_XXO_XX_OOO_OX_XOX_XO_XXOO,0
_____X_X___OX_OO_XXO_XX_OOO_OX_XOX_XO_XXOO,0
O____X_X___OX_OO_XXO_XX_OOO_OX_XOX_XO_XXOO,3
O____X_X__XOX_OO_XXO_XX_OOO_OX_XOX_XO_XXOO,6
O____X_X__XOX_OO_XXO_XX_OOO_OX_XOXOXO_XXOO,6
O____X_X__XOX_OO_XXO_XX_OOOXOX_XOXOXO_XXOO,4
O___OX_X__XOX_OO_XXO_XX_OOOXOX_XOXOXO_XXOO,2
O___OX_X__XOX_OO_XXO_XX_OOOXOX_XOXOXOXXXOO,3
O__OOX_X__XOX_OO_XXO_XX_OOOXOX_XOXOXOXXXOO,1
O__OOX_XX_XOX_OO_XXO_XX_OOOXOX_XOXOXOXXXOO,1
OO_OOX_XX_XOX_OO_XXO_XX_OOOXOX_XOXOXOXXXOO,2
OO_OOX_XX_XOX_OO_XXO_XX_OOOXOXXXOXOXOXXXOO,2
__________________________________________,3
______________________________________X___,3
_______________________________O______X___,4
_______________________________O______XX__,5
_______________________________O______XXO_,4
_______________________________OX_____XXO_,1
_______________________________OX___O_XXO_,4
_________________________X_____OX___O_XXO_,4
__________________O______X_____OX___O_XXO_,3
__________________O_____XX_____OX___O_XXO_,3
_________________OO_____XX_____OX___O_XXO_,1
_________________OO_____XX___X_OX___O_XXO_,1
_________________OO___O_XX___X_OX___O_XXO_,1
_______________X_OO___O_XX___X_OX___O_XXO_,3
__________O____X_OO___O_XX___X_OX___O_XXO_,1
________X_O____X_OO___O_XX___X_OX___O_XXO_,1
_O______X_O____X_OO___O_XX___X_OX___O_XXO_,2
_O______X_O____X_OO___O_XX___X_OX___OXXXO_,6
_O______X_O____X_OO___O_XX___X_OX___OXXXOO,6
_O______X_O____X_OO___O_XX___X_OX_X_OXXXOO,6
_O______X_O____X_OO___O_XX_O_X_OX_X_OXXXOO,6
_O______X_O____X_OO_X_O_XX_O_X_OX_X_OXXXOO,3
_O_O____X_O____X_OO_X_O_XX_O_X_OX_X_OXXXOO,6
_O_O____X_O__X_X_OO_X_O_XX_O_X_OX_X_OXXXOO,2
_O_O____X_O__X_X_OO_X_O_XX_O_XOOX_X_OXXXOO,0
_O_O____X_O__X_X_OO_X_O_XX_O_XOOX_XXOXXXOO,0
_O_O____X_O__X_X_OO_X_O_XX_OOXOOX_XXOXXXOO,0
_O_O____X_O__X_X_OO_XXO_XX_OOXOOX_XXOXXXOO,0
_O_O____X_O__XOX_OO_XXO_XX_OOXOOX_XXOXXXOO,0
_O_O___XX_O__XOX_OO_XXO_XX_OOXOOX_XXOXXXOO,4
_O_O___XX_OO_XOX_OO_XXO_XX_OOXOOX_XXOXXXOO,4
_O_OX__XX_OO_XOX_OO_XXO_XX_OOXOOX_XXOXXXOO,5
_O_OX__XX_OO_XOX_OO_XXO_XX_OOXOOXOXXOXXXOO,5
__________________________________________,3
______________________________________X___,4
______________________________________XO__,3
_______________________________X______XO__,4
_______________________________XO_____XO__,4
_________________________X_____XO_____XO__,3
________________________OX_____XO_____XO__,4
__________________X_____OX_____XO_____XO__,3
_________________OX_____OX_____XO_____XO__,5
